interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"30-84-56-78","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1500,"450",1,.a,,"",,"",,"",0,2,0,0,0,0,0,1,"Payments of debts"
"30-84-56-78","Savings, interest or other investment income",3500,"1500",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"25-36-49-99","Savings, interest or other investment income",500,"Every three months",1,.a,"Pension","","Local county government","","Cash","",0,1,0,0,0,2,0,0,""
"25-36-49-99","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",500,"Monthly",1,2,"Pension","","Both national and local governments","","Cash","",0,1,0,2,0,3,0,0,""
"95-91-52-45","Savings, interest or other investment income",2000,"100",1,.a,,"",,"",,"",1,0,0,0,2,0,0,0,""
"56-53-87-19","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2500,"30",1,.a,"Others ➡️ Specify","private company","Other➡️specify","Mowana lodge","Cash","",0,1,0,2,0,3,0,0,""
"25-00-79-64","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150,"Every 6 months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"66-81-51-91","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300,"0",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"02-25-80-90","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2100,"6",3,.a,,"",,"",,"",0,0,1,0,0,2,0,0,""
"41-03-53-12","Rental income, residential property (apartment, house)",650,"30",1,.a,,"",,"",,"",0,1,0,0,0,2,0,0,""
"41-03-53-12","Other➡️specify:",400,"Every year",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"09-25-62-80","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",730,"30",1,2,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,2,0,0,""
"46-89-61-94","Savings, interest or other investment income",350,"Every 6 months",1,.a,,"",,"",,"",0,1,0,2,0,3,0,0,""
"93-61-95-87","Rental income, residential property (apartment, house)",1300,"Every three months",1,.a,,"",,"",,"",1,2,0,0,0,0,0,0,""
"72-10-49-63","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"500",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"65-98-70-74","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200,"200",1,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"65-98-70-74","Savings, interest or other investment income",5000,"5000",1,.a,,"",,"",,"",3,1,0,2,0,0,0,0,""
"71-09-05-63","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",600,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"81-05-32-56","Savings, interest or other investment income",1150,"Every 6 months",3,.a,,"",,"",,"",3,1,0,0,0,2,0,0,""
